Company,TypeName,Ram,Weight,Price,Ips_Panel,Touchscreen,Cpu_Brand,Hdd,Ssd,Gpu_Brand,Operating_System,Ppi
Apple,Ultrabook,8,1.37,71378.6832,1,0,Intel Core i5,0,128,Intel,Mac,226.98300468106115
Apple,Ultrabook,8,1.34,47895.5232,0,0,Intel Core i5,0,0,Intel,Mac,127.67794013309688
HP,Notebook,8,1.86,30636.0,0,0,Intel Core i5,0,256,Intel,Other OS / No OS,141.21199808219862
Apple,Ultrabook,16,1.83,135195.33599999998,1,0,Intel Core i7,0,512,AMD,Mac,220.53462386625827
Apple,Ultrabook,8,1.37,96095.808,1,0,Intel Core i5,0,256,Intel,Mac,226.98300468106115
Acer,Notebook,4,2.1,21312.0,0,0,AMD,500,0,AMD,Windows,100.45466986113651
Apple,Ultrabook,16,2.04,114017.6016,1,0,Intel Core i7,0,0,Intel,Mac,220.53462386625827
Apple,Ultrabook,8,1.34,61735.536,0,0,Intel Core i5,0,0,Intel,Mac,127.67794013309688
Asus,Ultrabook,16,1.3,79653.59999999999,0,0,Intel Core i7,0,512,Nvidia,Windows,157.3505121487356
Acer,Ultrabook,8,1.6,41025.6,1,0,Intel Core i5,0,256,Intel,Windows,157.3505121487356
HP,Notebook,4,1.86,20986.992,0,0,Intel Core i5,500,0,Intel,Other OS / No OS,100.45466986113651
HP,Notebook,4,1.86,18381.0672,0,0,Intel Core i3,500,0,Intel,Other OS / No OS,141.21199808219862
Apple,Ultrabook,16,1.83,130001.6016,1,0,Intel Core i7,0,256,AMD,Mac,220.53462386625827
Dell,Notebook,4,2.2,26581.392,0,0,Intel Core i3,0,256,AMD,Windows,141.21199808219862
Apple,Ultrabook,8,0.92,67260.672,1,0,Other Intel Processor,0,256,Intel,Mac,226.41554716935852
Apple,Ultrabook,8,1.37,80908.344,1,0,Intel Core i5,0,256,Intel,Mac,226.98300468106115
Dell,Notebook,8,2.2,39693.6,0,0,Intel Core i7,0,256,AMD,Windows,141.21199808219862
Apple,Ultrabook,16,1.83,152274.24,1,0,Intel Core i7,0,512,AMD,Mac,220.53462386625827
Lenovo,Notebook,8,2.2,26586.72,0,0,Intel Core i3,1024,0,Nvidia,Other OS / No OS,141.21199808219862
Dell,Ultrabook,8,1.22,52161.12,1,1,Intel Core i5,0,128,Intel,Windows,165.6321180513006
Asus,Netbook,2,0.98,10224.432,0,0,Other Intel Processor,0,0,Intel,Windows,135.0942111925629
Lenovo,Gaming,8,2.5,53226.72,1,0,Intel Core i5,1024,128,Nvidia,Windows,141.21199808219862
HP,Notebook,4,1.86,13746.24,0,0,AMD,500,0,AMD,Other OS / No OS,100.45466986113651
Dell,2 in 1 Convertible,8,1.62,43636.32,0,1,Intel Core i5,0,256,Intel,Windows,165.6321180513006
HP,Ultrabook,8,1.91,35111.52,0,0,Intel Core i7,0,256,Intel,Windows,141.21199808219862
Dell,Notebook,4,2.3,22305.1392,0,0,Intel Core i3,1024,0,Intel,Windows,100.45466986113651
Apple,Ultrabook,8,1.35,58554.72,0,0,Intel Core i5,0,0,Intel,Mac,127.67794013309688
Dell,Notebook,8,2.2,42624.0,0,0,Intel Core i5,0,256,AMD,Windows,141.21199808219862
Dell,Ultrabook,8,1.88,69157.44,0,0,Intel Core i7,0,256,Intel,Windows,141.21199808219862
HP,Notebook,8,2.5,47738.88,0,0,Intel Core i5,1024,0,Nvidia,Windows,127.33567457123111
Chuwi,Notebook,4,1.89,13053.0672,0,0,Other Intel Processor,0,0,Intel,Windows,141.21199808219862
Asus,Notebook,2,1.65,10602.72,0,0,AMD,0,0,AMD,Windows,111.93520355955211
HP,Notebook,4,2.71,23389.92,0,0,AMD,500,0,AMD,Windows,127.33567457123111
Dell,Ultrabook,16,1.2,99580.32,0,1,Intel Core i7,0,512,Intel,Windows,276.053530085501
Apple,Ultrabook,8,1.35,53173.44,0,0,Intel Core i5,0,0,Intel,Mac,127.67794013309688
Lenovo,Notebook,4,1.44,13266.72,0,0,Other Intel Processor,0,0,Intel,Windows,111.93520355955211
Acer,Notebook,4,2.1,19553.76,0,0,Intel Core i3,1024,0,Intel,Other OS / No OS,100.45466986113651
Dell,Notebook,8,2.8,52161.12,1,0,Intel Core i5,1024,128,AMD,Windows,127.33567457123111
HP,Notebook,4,1.86,26037.4032,0,0,Intel Core i5,1024,0,Intel,Windows,100.45466986113651
HP,Notebook,8,2.1,46833.12,0,0,Intel Core i5,0,256,Nvidia,Windows,141.21199808219862
Asus,Notebook,4,2.0,20725.92,0,0,Intel Core i3,1024,0,Intel,Other OS / No OS,141.21199808219862
Dell,Gaming,16,2.65,79866.72,1,0,Intel Core i7,1024,256,Nvidia,Windows,141.21199808219862
Asus,Notebook,8,2.3,27864.9072,0,0,Intel Core i5,1024,0,Nvidia,Other OS / No OS,100.45466986113651
Acer,Notebook,4,2.2,36336.96,1,0,Intel Core i5,0,256,Intel,Windows,141.21199808219862
Dell,2 in 1 Convertible,12,2.77,53226.72,0,1,Intel Core i5,1024,0,Nvidia,Windows,127.33567457123111
Apple,Ultrabook,8,1.37,75604.31999999999,1,0,Intel Core i5,0,256,Intel,Mac,226.98300468106115
Lenovo,Notebook,4,2.2,19660.32,0,0,Intel Core i3,0,128,Intel,Other OS / No OS,100.45466986113651
Asus,Gaming,8,3.2,69210.72,0,0,AMD,1024,256,AMD,Windows,127.33567457123111
Dell,Notebook,4,2.3,34045.92,0,0,Intel Core i5,0,256,AMD,Windows,141.21199808219862
Asus,Notebook,4,2.8,24828.48,0,0,Other Intel Processor,1024,0,Nvidia,Windows,90.58340172449303
Lenovo,2 in 1 Convertible,4,0.69,16996.32,1,1,Other Intel Processor,0,0,Intel,Other OS / No OS,224.17380907857276
Acer,Notebook,8,2.2,44808.48,1,0,Intel Core i7,0,256,Nvidia,Windows,141.21199808219862
HP,Notebook,4,1.86,21231.5472,0,0,AMD,0,256,AMD,Windows,141.21199808219862
HP,Notebook,8,1.49,58767.84,0,0,Intel Core i7,0,512,Intel,Windows,165.6321180513006
Acer,Notebook,4,2.4,20459.52,0,0,Intel Core i3,1024,0,Intel,Windows,100.45466986113651
Dell,Notebook,8,2.13,40908.384,0,0,Intel Core i7,0,256,AMD,Windows,141.21199808219862
HP,Notebook,4,1.91,23389.92,0,0,Intel Core i3,0,128,Intel,Windows,141.21199808219862
Asus,Notebook,4,2.0,31232.203200000004,0,0,Intel Core i5,0,256,Intel,Windows,100.45466986113651
MSI,Gaming,16,2.43,130482.72,0,0,Intel Core i7,2048,256,Nvidia,Windows,127.33567457123111
Asus,Notebook,4,2.0,22111.2,0,0,Intel Core i3,0,256,Intel,Other OS / No OS,141.21199808219862
Dell,Notebook,16,2.8,69210.72,0,0,Intel Core i7,2048,256,AMD,Windows,127.33567457123111
Dell,Ultrabook,8,1.7,46833.12,0,0,Intel Core i5,0,256,Intel,Windows,157.3505121487356
Lenovo,Notebook,8,1.7,31914.72,1,0,Intel Core i3,0,256,Intel,Other OS / No OS,157.3505121487356
Asus,Notebook,8,1.4,50136.48,0,0,Intel Core i5,0,256,Intel,Windows,157.3505121487356
HP,Notebook,8,1.86,36763.2,0,0,Intel Core i5,0,256,Intel,Windows,141.21199808219862
Asus,Ultrabook,16,1.8,105654.24,0,0,Intel Core i7,0,512,Nvidia,Windows,141.21199808219862
HP,Notebook,4,1.86,23373.4032,0,0,Intel Core i3,500,0,AMD,Windows,100.45466986113651
